start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
245637,247369,2,stairs,64,0,0,-248,-65,957,-33,-9,-7,3,38,-26,258,79,957,122,169,300
247369,249095,2,stairs,64,0,0,-234,-47,963,-4,3,0,51,34,-101,241,67,963,106,160,160
249095,250826,2,stairs,64,0,0,-209,-11,970,18,12,4,40,-41,-264,219,63,970,115,135,360
250826,252565,2,stairs,64,0,0,-195,-118,968,6,-44,0,30,5,-923,200,121,968,142,160,999
252565,254300,2,stairs,64,0,0,-185,-22,973,1,40,1,112,113,-420,198,63,973,158,163,455
254300,256016,2,stairs,64,0,0,-203,-13,973,0,20,2,27,13,156,209,45,973,136,148,211
256016,257743,2,stairs,64,0,0,-149,-22,979,26,-2,2,15,11,-25,167,49,979,111,156,159
257743,259493,2,stairs,64,0,0,-183,-88,970,-6,-46,-4,-27,-99,-925,190,109,970,214,188,985
259493,261234,2,stairs,64,0,0,-143,-91,974,8,0,1,61,164,-743,163,104,974,173,276,810
261234,262969,2,stairs,64,0,0,-193,12,974,-22,51,0,99,50,40,202,47,974,200,270,271
262969,264699,2,stairs,64,0,0,-176,-7,978,7,2,2,-29,9,54,183,50,978,176,163,224
264699,266436,2,stairs,64,0,0,-173,-48,972,0,-21,-4,61,-12,-463,190,81,972,169,158,553
266436,268179,2,stairs,64,0,0,-172,-98,969,-3,-30,-2,-55,49,-861,182,125,969,185,297,916
268179,269907,2,stairs,64,0,0,-171,-48,971,16,27,3,150,51,-326,187,98,971,199,124,584
269907,271634,2,stairs,64,0,0,-189,-52,970,-14,-11,-1,-55,66,-174,199,75,971,190,244,421
271634,273365,2,stairs,64,0,0,-128,-93,979,31,-21,4,39,-19,-103,140,105,980,135,241,337
273365,275107,2,stairs,64,0,0,-126,-101,976,14,-11,0,82,-52,-663,149,122,976,202,269,765
275107,276850,2,stairs,64,0,0,-138,-103,972,-21,-4,-4,-16,222,-695,163,125,972,230,276,823
276850,278590,2,stairs,64,0,0,-187,-140,962,-24,-14,-5,35,103,-255,203,154,962,140,199,448
278590,280320,2,stairs,64,0,0,-176,-117,966,4,11,2,35,-18,0,186,142,967,198,177,111
280320,282052,2,stairs,64,0,0,-198,-143,960,-12,-24,-5,-30,31,-8,208,156,960,160,133,287
